front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A1,L002,1,10,-123.875,310.0,-103.452875,303.591805
A2,L003,2,1,-82.583333,310.0,-29.66805,319.437241
A3,L004,2,2,-41.291667,310.0,-21.191464,319.437241
A4,L005,2,4,0.0,310.0,-4.238293,319.437241
A5,L006,2,7,41.291667,310.0,21.191464,319.437241
A6,L007,2,8,82.583333,310.0,29.66805,319.437241
A7,L008,3,14,123.875,310.0,94.976289,303.591805
A8,L011,1,9,-153.37963,290.0,-111.929461,303.591805
A9,L012,1,11,-122.703704,290.0,-94.976289,303.591805
A10,L013,1,14,-92.027778,290.0,-69.546532,303.591805
A11,L014,1,16,-61.351852,290.0,-52.593361,303.591805
A12,L015,2,10,-30.675926,290.0,-21.191464,303.591805
A13,L016,2,13,0.0,290.0,4.238293,303.591805
A14,L017,2,15,30.675926,290.0,21.191464,303.591805
A15,L018,3,9,61.351852,290.0,52.593361,303.591805
A16,L019,3,11,92.027778,290.0,69.546532,303.591805
A17,L020,3,13,122.703704,290.0,86.499704,303.591805
A18,L021,3,15,153.37963,290.0,103.452875,303.591805
A19,L023,5,3,-202.944444,270.0,-177.2377,230.433091
A20,L024,5,6,-177.576389,270.0,-151.807943,230.433091
A21,L025,1,12,-152.208333,270.0,-86.499704,303.591805
A22,L026,1,13,-126.840278,270.0,-78.023118,303.591805
A23,L027,1,15,-101.472222,270.0,-61.069947,303.591805
A24,L028,2,9,-76.104167,270.0,-29.66805,303.591805
A25,L029,2,3,-50.736111,270.0,-12.714878,319.437241
A26,L030,2,11,-25.368056,270.0,-12.714878,303.591805
A27,L031,2,12,0.0,270.0,-4.238293,303.591805
A28,L032,2,5,25.368056,270.0,4.238293,319.437241
A29,L033,2,6,50.736111,270.0,12.714878,319.437241
A30,L034,2,16,76.104167,270.0,29.66805,303.591805
A31,L035,3,10,101.472222,270.0,61.069947,303.591805
A32,L036,3,12,126.840278,270.0,78.023118,303.591805
A33,L037,8,7,152.208333,270.0,103.452875,230.433091
A34,L038,9,3,177.576389,270.0,151.807943,230.433091
A35,L039,9,6,202.944444,270.0,177.2377,230.433091
A36,L040,5,1,-221.833333,250.0,-194.190871,230.433091
A37,L041,5,2,-199.65,250.0,-185.714286,230.433091
A38,L042,5,4,-177.466667,250.0,-168.761114,230.433091
A39,L043,5,7,-155.283333,250.0,-143.331357,230.433091
A40,L044,6,1,-133.1,250.0,-111.929461,230.433091
A41,L045,6,2,-110.916667,250.0,-103.452875,230.433091
A42,L046,6,4,-88.733333,250.0,-86.499704,230.433091
A43,L047,6,6,-66.55,250.0,-69.546532,230.433091
A44,L048,6,8,-44.366667,250.0,-52.593361,230.433091
A45,L049,7,3,-22.183333,250.0,-12.714878,230.433091
A46,L050,7,4,0.0,250.0,-4.238293,230.433091
A47,L051,7,6,22.183333,250.0,12.714878,230.433091
A48,L052,2,14,44.366667,250.0,12.714878,303.591805
A49,L053,8,1,66.55,250.0,52.593361,230.433091
A50,L054,8,3,88.733333,250.0,69.546532,230.433091
A51,L055,8,5,110.916667,250.0,86.499704,230.433091
A52,L056,8,8,133.1,250.0,111.929461,230.433091
A53,L057,9,2,155.283333,250.0,143.331357,230.433091
A54,L058,9,5,177.466667,250.0,168.761114,230.433091
A55,L059,9,7,199.65,250.0,185.714286,230.433091
A56,L060,9,8,221.833333,250.0,194.190871,230.433091
A57,L061,4,7,-240.722222,230.0,-225.592768,230.433091
A58,L062,4,8,-220.662037,230.0,-217.116183,230.433091
A59,L063,5,10,-200.601852,230.0,-185.714286,214.587656
A60,L064,5,13,-180.541667,230.0,-160.284529,214.587656
A61,L065,5,5,-160.481481,230.0,-160.284529,230.433091
A62,L066,5,8,-140.421296,230.0,-134.854772,230.433091
A63,L067,6,9,-120.361111,230.0,-111.929461,214.587656
A64,L068,6,3,-100.300926,230.0,-94.976289,230.433091
A65,L069,6,5,-80.240741,230.0,-78.023118,230.433091
A66,L070,6,7,-60.180556,230.0,-61.069947,230.433091
A67,L071,7,1,-40.12037,230.0,-29.66805,230.433091
A68,L072,7,2,-20.060185,230.0,-21.191464,230.433091
A69,L073,7,5,0.0,230.0,4.238293,230.433091
A70,L074,7,7,20.060185,230.0,21.191464,230.433091
A71,L075,7,8,40.12037,230.0,29.66805,230.433091
A72,L076,8,2,60.180556,230.0,61.069947,230.433091
A73,L077,8,4,80.240741,230.0,78.023118,230.433091
A74,L078,8,6,100.300926,230.0,94.976289,230.433091
A75,L079,8,16,120.361111,230.0,111.929461,214.587656
A76,L080,9,1,140.421296,230.0,134.854772,230.433091
A77,L081,9,4,160.481481,230.0,160.284529,230.433091
A78,L082,9,12,180.541667,230.0,160.284529,214.587656
A79,L083,9,15,200.601852,230.0,185.714286,214.587656
A80,L084,10,1,220.662037,230.0,217.116183,230.433091
A81,L085,10,2,240.722222,230.0,225.592768,230.433091
A82,L086,4,14,-259.611111,210.0,-234.069354,214.587656
A83,L087,4,15,-237.976852,210.0,-225.592768,214.587656
A84,L088,4,16,-216.342593,210.0,-217.116183,214.587656
A85,L089,5,9,-194.708333,210.0,-194.190871,214.587656
A86,L090,5,12,-173.074074,210.0,-168.761114,214.587656
A87,L091,5,14,-151.439815,210.0,-151.807943,214.587656
A88,L092,5,16,-129.805556,210.0,-134.854772,214.587656
A89,L093,6,10,-108.171296,210.0,-103.452875,214.587656
A90,L094,6,12,-86.537037,210.0,-86.499704,214.587656
A91,L095,6,15,-64.902778,210.0,-61.069947,214.587656
A92,L096,7,9,-43.268519,210.0,-29.66805,214.587656
A93,L097,7,10,-21.634259,210.0,-21.191464,214.587656
A94,L098,7,12,0.0,210.0,-4.238293,214.587656
A95,L099,7,15,21.634259,210.0,21.191464,214.587656
A96,L100,7,16,43.268519,210.0,29.66805,214.587656
A97,L101,8,10,64.902778,210.0,61.069947,214.587656
A98,L102,8,13,86.537037,210.0,86.499704,214.587656
A99,L103,8,15,108.171296,210.0,103.452875,214.587656
A100,L104,9,9,129.805556,210.0,134.854772,214.587656
A101,L105,9,11,151.439815,210.0,151.807943,214.587656
A102,L106,9,13,173.074074,210.0,168.761114,214.587656
A103,L107,9,16,194.708333,210.0,194.190871,214.587656
A104,L108,10,9,216.342593,210.0,217.116183,214.587656
A105,L109,10,10,237.976852,210.0,225.592768,214.587656
A106,L110,10,11,259.611111,210.0,234.069354,214.587656
A107,L111,11,8,-278.5,190.0,-258.246888,141.428942
A108,L112,12,11,-258.607143,190.0,-218.368405,125.583506
A109,L113,12,4,-238.714286,190.0,-209.89182,141.428942
